Order ID,Order Date,Ship Date,Customer ID,Customer Name,Customer Segment,Product ID,Product Name,Category,Region,State,City,Quantity,Unit Price,Discount (%),Sales Amount,Cost Price,Profit,Stock Left,Auto Reorder,Reorder Quantity,Supplier Name,Supplier Email,Payment Mode,Delivery Status
ORD1020,2025-01-01,2025-01-03,CUST390,William Goodwin,Consumer,PROD4746,Bookshelf,Furniture,North,Massachusetts,Melissafort,2,2493,0,4986.0,3376.27,1609.73,43,No,0,"Parsons, Oliver and Harrington",ychapman@sanchez.net,Cash,Cancelled
ORD1021,2025-04-22,2025-04-28,CUST940,Scott Porter,Consumer,PROD3324,Sofa,Furniture,West,Indiana,Garciaburgh,10,2032,0,20320.0,13693.22,6626.78,1,Yes,30,Taylor Inc,hbrooks@gutierrez-jones.com,UPI,Delivered
ORD1022,2024-05-07,2024-05-12,CUST382,Shane Manning,Home Office,PROD9788,Headphones,Electronics,West,Kansas,Audreyshire,3,4056,15,10342.8,6799.58,3543.22,13,No,0,"Edwards, Peck and Watson",pweiss@hale.com,UPI,Pending
ORD1023,2024-12-03,2024-12-09,CUST280,Denise Martin,Consumer,PROD3317,Keyboard,Electronics,West,Virginia,Christinastad,5,3244,20,12976.0,9517.15,3458.85,3,Yes,40,Wilson-Patterson,vanessawilson@walker.org,UPI,Cancelled
ORD1024,2025-05-05,2025-05-09,CUST689,Terry Clark,Consumer,PROD5049,Snacks,Grocery,East,Mississippi,Lake Matthewbury,8,1222,5,9287.2,6169.39,3117.81,9,Yes,25,Walker Inc,johnsonjulie@reed-hart.com,Credit Card,Returned
ORD1025,2024-12-13,2024-12-19,CUST734,Thomas Jackson,Corporate,PROD8333,Snacks,Grocery,West,New Jersey,New Ronald,3,4813,0,14439.0,8663.69,5775.31,8,Yes,25,"Jennings, Arnold and Chan",michaelleonard@adams.org,Net Banking,Returned
ORD1026,2025-08-18,2025-08-22,CUST373,Troy Heath,Corporate,PROD4095,Notebook,Office Supplies,South,Oregon,East Amandaburgh,10,329,20,2632.0,1959.66,672.34,13,No,0,"Chan, Guzman and Wall",esalinas@villarreal.net,Cash,Returned
ORD1027,2024-12-15,2024-12-21,CUST387,David Ruiz,Consumer,PROD9463,Headphones,Electronics,East,Kansas,North Frances,5,3335,5,15841.25,11275.13,4566.12,41,No,0,"Miller, Burns and Williams",corey11@pruitt-sims.biz,Net Banking,Returned
ORD1028,2025-12-25,2025-12-31,CUST971,Barbara Montes,Home Office,PROD5372,Notebook,Office Supplies,South,Massachusetts,North Nicholas,1,3281,5,3116.95,2297.54,819.41,40,No,0,Wilson-Reyes,amywright@wilson.info,UPI,Cancelled
ORD1029,2024-11-04,2024-11-09,CUST421,Larry Gardner,Consumer,PROD2563,Rice Bag,Grocery,West,Kansas,Annbury,3,1711,15,4363.05,2922.85,1440.2,4,Yes,35,Hughes Inc,vkennedy@dawson-walters.com,UPI,Returned
ORD1030,2025-05-08,2025-05-12,CUST510,Cynthia Holland,Home Office,PROD9443,Stapler,Office Supplies,North,Maine,New Jacquelineport,6,501,5,2855.7,2306.15,549.55,9,Yes,43,Nelson-Williams,dean21@palmer.com,Credit Card,Pending
ORD1031,2026-01-30,2026-02-05,CUST918,Jill Snyder,Home Office,PROD4116,Sofa,Furniture,South,Arizona,Livingstonbury,5,2433,15,10340.25,8512.72,1827.53,35,No,0,Estrada-Haynes,aevans@johnson-thomas.com,Credit Card,Delivered
ORD1032,2025-01-30,2025-01-31,CUST738,Adrienne Lopez,Corporate,PROD7842,Snacks,Grocery,East,Utah,Amyville,6,2482,15,12658.2,8870.45,3787.75,50,No,0,Davis-Simmons,scottfernandez@martin.com,Cash,Pending
ORD1033,2025-04-01,2025-04-02,CUST504,Jeremy Moss,Corporate,PROD5401,Rice Bag,Grocery,West,Hawaii,Veronicachester,1,4106,15,3490.1,2394.28,1095.82,23,No,0,Fields-Lopez,michaelstein@davis.biz,Cash,Returned
ORD1034,2024-07-12,2024-07-16,CUST833,Howard Williams,Corporate,PROD1528,Headphones,Electronics,North,Idaho,Johnsonside,7,3140,20,17584.0,10957.17,6626.83,6,Yes,48,Ellis PLC,kevintrevino@harmon-robinson.com,Cash,Pending
ORD1035,2025-05-19,2025-05-25,CUST869,Kathy Collins,Home Office,PROD3973,Dining Table,Furniture,South,Maryland,Daleville,10,2918,10,26262.0,16013.59,10248.41,21,No,0,"Petty, Gardner and Hayes",michelestewart@harding.com,Credit Card,Pending
ORD1036,2024-05-18,2024-05-23,CUST406,John Johnson,Consumer,PROD2516,Dining Table,Furniture,West,Maryland,Samuelborough,6,3682,10,19882.8,12755.95,7126.85,16,No,0,"Rogers, Walton and Perez",nphelps@gordon-walker.com,Credit Card,Pending
ORD1037,2026-03-07,2026-03-12,CUST329,Tara Barnes,Consumer,PROD1617,Headphones,Electronics,East,Kansas,East Barbaraville,10,2165,15,18402.5,13415.12,4987.38,14,No,0,"Walker, Johnson and Wolfe",olawson@ortiz.com,UPI,Cancelled
ORD1038,2025-01-13,2025-01-14,CUST549,Jacqueline Ramsey,Home Office,PROD3097,Study Table,Furniture,North,Louisiana,Rebeccamouth,1,427,20,341.6,292.36,49.24,39,No,0,Long Group,cynthia52@duncan.info,Net Banking,Cancelled
ORD1039,2024-12-31,2025-01-01,CUST525,Travis Hayes,Consumer,PROD8421,Snacks,Grocery,North,North Carolina,West Laura,4,4616,15,15694.4,10483.55,5210.85,15,No,0,"Houston, Smith and Thomas",mariarice@shepherd.biz,Cash,Delivered
ORD1040,2025-04-21,2025-04-22,CUST585,Rebecca Kline,Consumer,PROD6107,Headphones,Electronics,East,Hawaii,West Karen,9,1150,10,9315.0,6856.81,2458.19,13,No,0,"Navarro, Baker and Larson",dalton20@jones-baker.com,Credit Card,Delivered
ORD1041,2025-11-29,2025-12-05,CUST137,Gina Larsen,Corporate,PROD2628,Sofa,Furniture,South,Pennsylvania,Johnsonside,1,4945,20,3956.0,3034.77,921.23,13,No,0,Webb-Wall,claytonbaird@garcia-thornton.org,Cash,Returned
ORD1042,2026-01-12,2026-01-18,CUST369,James Booker,Corporate,PROD7800,Keyboard,Electronics,North,Virginia,East David,1,1791,5,1701.45,1171.16,530.29,1,Yes,26,Thompson LLC,michael49@williams-jones.com,Credit Card,Delivered
ORD1043,2024-04-12,2024-04-13,CUST967,Rodney Johnson,Corporate,PROD9391,Rice Bag,Grocery,East,Oregon,Lake Thomas,7,4518,10,28463.4,21195.56,7267.84,9,Yes,20,Silva-Thompson,kerri34@moreno.com,Credit Card,Returned
ORD1044,2024-05-03,2024-05-07,CUST921,Amanda Kim,Consumer,PROD6913,Dining Table,Furniture,North,Nebraska,Rachelfort,4,845,15,2873.0,2238.97,634.03,15,No,0,Richardson-Brown,gabrielanderson@james-bean.com,UPI,Returned
ORD1045,2025-03-17,2025-03-20,CUST840,Jennifer Kelley,Home Office,PROD7181,Office Chair,Furniture,West,Missouri,West Gregory,2,4420,5,8398.0,6676.68,1721.32,0,Yes,21,"Nguyen, Hernandez and Lewis",cartermichael@greer-rojas.com,UPI,Delivered
ORD1046,2026-03-04,2026-03-06,CUST508,Brianna Henderson,Home Office,PROD8855,Calculator,Office Supplies,North,Connecticut,Debraport,8,156,10,1123.2,689.49,433.71,40,No,0,"Park, Dennis and Newman",sharonbooker@lopez.com,Cash,Returned
ORD1047,2024-09-09,2024-09-14,CUST742,Kimberly Mccoy,Corporate,PROD3865,Juice Pack,Grocery,South,Oregon,Jenkinsmouth,9,4348,20,31305.6,24401.79,6903.81,42,No,0,"Haynes, Miller and Myers",alexandercolon@russell.biz,Cash,Pending
ORD1048,2025-08-06,2025-08-07,CUST950,Mark Richardson,Home Office,PROD4114,Dining Table,Furniture,East,Washington,Mcbridechester,9,1666,5,14244.3,10684.64,3559.66,19,No,0,"Johnson, Torres and Ward",marshallbrent@ellison.org,Cash,Returned
ORD1049,2024-05-31,2024-06-02,CUST689,Matthew Mayer,Consumer,PROD4560,Monitor,Electronics,West,Tennessee,Robertstad,8,4427,10,31874.4,24292.01,7582.39,1,Yes,48,Daniels Inc,hernandezkevin@green-lopez.com,Net Banking,Pending
ORD1050,2024-10-14,2024-10-15,CUST846,Samantha Harris,Home Office,PROD8049,Sugar,Grocery,North,Hawaii,Hobbsport,5,3549,0,17745.0,11043.51,6701.49,35,No,0,Reid and Sons,baileychristina@baker.com,UPI,Returned
ORD1051,2025-02-22,2025-02-28,CUST121,Alison Terry,Corporate,PROD6060,Calculator,Office Supplies,West,Florida,Greenville,2,3731,0,7462.0,6550.98,911.02,38,No,0,Johnson and Sons,leahholmes@brown-roberts.org,Net Banking,Delivered
ORD1052,2024-09-27,2024-09-28,CUST156,Jennifer Mack,Consumer,PROD4693,Rice Bag,Grocery,West,Hawaii,West Madeline,4,1652,5,6277.6,5311.24,966.36,1,Yes,46,Miller-Williams,briannagarcia@miller-hernandez.com,Net Banking,Pending
ORD1053,2026-02-16,2026-02-18,CUST460,Andre Perez,Consumer,PROD1585,Monitor,Electronics,South,Wisconsin,Port Stephanietown,6,3205,0,19230.0,16425.06,2804.94,21,No,0,"Thomas, Scott and Anderson",karenjones@beard.com,Net Banking,Pending
ORD1054,2025-01-09,2025-01-13,CUST915,David Dominguez,Consumer,PROD1140,Juice Pack,Grocery,South,California,Cartermouth,3,3752,15,9567.6,6632.3,2935.3,30,No,0,"Johnson, Rodriguez and Owens",mschmidt@cole.info,Cash,Delivered
ORD1055,2024-12-10,2024-12-12,CUST584,Brittany Joseph,Consumer,PROD4314,Keyboard,Electronics,South,Minnesota,Morganhaven,2,3835,0,7670.0,5765.57,1904.43,42,No,0,Hall LLC,dunnmelanie@lopez.com,Cash,Pending
ORD1056,2024-07-26,2024-07-27,CUST581,Jessica Foley,Corporate,PROD8657,Laptop,Electronics,South,Utah,Suarezside,7,1343,5,8930.95,5932.23,2998.72,43,No,0,"Morales, Brown and Richardson",hessstephen@kelley-allen.org,Credit Card,Pending
ORD1057,2025-10-13,2025-10-18,CUST405,Stacy Wilson,Home Office,PROD8813,Sugar,Grocery,South,Rhode Island,Anthonyhaven,10,836,5,7942.0,6641.42,1300.58,18,No,0,"Hill, Stevens and Raymond",pbennett@mcclure-curry.com,Net Banking,Pending
ORD1058,2025-02-19,2025-02-21,CUST878,Thomas Clayton,Corporate,PROD8996,Cooking Oil,Grocery,South,Delaware,Alexandraberg,10,1203,0,12030.0,9372.84,2657.16,22,No,0,"Gibson, Coleman and Cruz",linemily@cunningham-kirk.com,Cash,Delivered
ORD1059,2024-10-02,2024-10-05,CUST581,Jason Estrada,Corporate,PROD2654,Sofa,Furniture,East,New York,Justinview,10,142,15,1207.0,820.03,386.97,40,No,0,Santana LLC,cassandra86@brooks.com,Cash,Delivered
ORD1060,2024-12-03,2024-12-06,CUST694,Kevin Willis,Consumer,PROD1422,Study Table,Furniture,West,Louisiana,Gabrielfurt,5,4194,5,19921.5,16797.11,3124.39,2,Yes,31,Lane-Lopez,justin11@graves-jones.biz,Credit Card,Pending
ORD1061,2025-06-10,2025-06-15,CUST980,Marissa Cardenas,Consumer,PROD9393,Notebook,Office Supplies,West,West Virginia,Saraburgh,9,3938,15,30125.7,23899.32,6226.38,40,No,0,Miller-Smith,kennethmcdonald@frazier-marsh.info,UPI,Cancelled
ORD1062,2025-11-04,2025-11-11,CUST956,Carolyn Kirk,Consumer,PROD8396,Headphones,Electronics,West,Utah,East Angelaborough,6,922,5,5255.4,4458.72,796.68,15,No,0,Castro LLC,zsmith@fletcher-haynes.org,UPI,Returned
ORD1063,2025-03-28,2025-03-29,CUST233,Gregory Randolph,Consumer,PROD7684,File Folder,Office Supplies,West,Texas,Travismouth,5,725,5,3443.75,2359.56,1084.19,17,No,0,Taylor-Patterson,gonzalessamantha@garcia.com,Net Banking,Returned
ORD1064,2025-02-23,2025-03-01,CUST467,Brandon Gomez,Corporate,PROD3189,Rice Bag,Grocery,East,Connecticut,North Leetown,8,347,10,2498.4,1867.5,630.9,5,Yes,38,Carpenter Ltd,bjones@villa.com,Credit Card,Cancelled
ORD1065,2025-09-17,2025-09-20,CUST760,Jacob Thomas,Consumer,PROD5718,Rice Bag,Grocery,South,Florida,New Carolynmouth,5,4190,20,16760.0,13038.64,3721.36,34,No,0,Weiss Ltd,mhunt@carlson-evans.biz,Net Banking,Cancelled
ORD1066,2026-02-03,2026-02-04,CUST794,Sandra Mullen,Corporate,PROD1838,Mouse,Electronics,South,Texas,East Michaelview,1,2717,15,2309.45,2001.96,307.49,16,No,0,"Roberts, Peterson and Harris",dlee@key-marsh.org,UPI,Returned
ORD1067,2025-03-08,2025-03-15,CUST303,Madison Valenzuela,Home Office,PROD5377,Sofa,Furniture,East,Missouri,New Keithfort,8,3937,20,25196.8,20303.8,4893.0,21,No,0,Stewart-Powell,brianzimmerman@brown.com,Credit Card,Delivered
ORD1068,2025-06-24,2025-06-29,CUST568,William Nichols,Home Office,PROD6970,Stapler,Office Supplies,East,South Dakota,East Paulside,8,991,0,7928.0,7108.69,819.31,14,No,0,Vargas-Kim,tlawrence@hoffman-colon.net,Credit Card,Cancelled
ORD1069,2025-09-06,2025-09-13,CUST516,Amy Kaufman,Consumer,PROD2314,Sugar,Grocery,South,Montana,Brandonside,3,204,15,520.2,324.63,195.57,14,No,0,Shea-Payne,ecantu@morgan.com,Cash,Pending
ORD1070,2024-07-07,2024-07-09,CUST716,Michael Martinez,Home Office,PROD3699,Office Chair,Furniture,West,Delaware,Port Jessica,1,2520,20,2016.0,1380.51,635.49,37,No,0,Moss Ltd,chavezlynn@ford-stevens.net,Credit Card,Returned
ORD1071,2024-11-16,2024-11-18,CUST705,Kimberly Huerta,Corporate,PROD9382,Mouse,Electronics,North,Nebraska,New Nancy,5,2897,0,14485.0,10847.14,3637.86,1,Yes,26,"Wheeler, Turner and Robertson",maryrobinson@russell.biz,Net Banking,Cancelled
ORD1072,2024-10-26,2024-10-27,CUST308,Alisha Kim,Corporate,PROD9652,Bookshelf,Furniture,South,Indiana,Michaelville,7,843,10,5310.9,4441.45,869.45,36,No,0,"Stanley, Miller and Barron",ijohnson@martinez-anderson.biz,Cash,Delivered
ORD1073,2024-08-18,2024-08-22,CUST929,Lisa Cruz,Corporate,PROD1520,Monitor,Electronics,East,Louisiana,Donnashire,10,2614,10,23526.0,17032.32,6493.68,26,No,0,Wade LLC,joshuaclark@martin.com,Credit Card,Pending
ORD1074,2026-02-06,2026-02-07,CUST692,Paul Williams,Consumer,PROD9491,Study Table,Furniture,East,Mississippi,Nicoleton,10,194,20,1552.0,1186.41,365.59,9,Yes,31,"Salazar, Hunter and Johnson",patrickpadilla@jackson-harrison.com,UPI,Cancelled
ORD1075,2025-03-19,2025-03-25,CUST188,Brian Bowman,Consumer,PROD1321,Calculator,Office Supplies,East,Louisiana,Lake Bobby,1,291,15,247.35,189.69,57.66,31,No,0,Bishop PLC,xharvey@hill-cuevas.com,Credit Card,Returned
ORD1076,2025-03-04,2025-03-05,CUST531,Patricia Burgess,Consumer,PROD3507,Cooking Oil,Grocery,East,West Virginia,Susanstad,9,1657,15,12676.05,9950.67,2725.38,1,Yes,34,Reynolds-Johnson,ibrown@davis-sosa.com,Net Banking,Pending
ORD1077,2026-04-02,2026-04-08,CUST389,Norma Casey,Consumer,PROD6019,Laptop,Electronics,East,Montana,Elizabethmouth,2,3457,5,6568.3,4315.51,2252.79,39,No,0,Maldonado-Ortiz,mariahernandez@barber-williams.net,Net Banking,Cancelled
ORD1078,2026-01-30,2026-02-05,CUST442,Mrs. Wendy Williams DVM,Home Office,PROD6721,Laptop,Electronics,South,Wyoming,West Josephfurt,7,3928,0,27496.0,20058.58,7437.42,26,No,0,Chapman-Williams,robinsonrobert@wood.biz,UPI,Cancelled
ORD1079,2024-10-09,2024-10-11,CUST813,Sarah Williams,Home Office,PROD4722,Monitor,Electronics,East,Michigan,South Cynthia,6,2694,20,12931.2,10664.4,2266.8,33,No,0,"Webb, Chung and Flores",anthonysparks@campos-hendricks.com,Net Banking,Returned
ORD1080,2025-09-10,2025-09-14,CUST353,Samuel Pratt,Home Office,PROD4797,File Folder,Office Supplies,South,Rhode Island,Hodgesfort,2,305,15,518.5,401.15,117.35,47,No,0,Johnson-Matthews,wrightsheri@mack-melton.com,Credit Card,Cancelled
ORD1081,2026-04-01,2026-04-04,CUST707,Jorge Lawrence,Home Office,PROD9871,Dining Table,Furniture,West,Arkansas,New Gregory,1,4089,10,3680.1,2657.62,1022.48,46,No,0,"Snyder, Wright and Martin",susan07@simpson.com,Net Banking,Pending
ORD1082,2024-08-27,2024-08-28,CUST508,Joshua Ferguson,Home Office,PROD4283,Snacks,Grocery,North,Tennessee,Colonstad,3,3648,0,10944.0,7412.17,3531.83,20,No,0,Douglas-Parks,derek62@eaton.com,Credit Card,Cancelled
ORD1083,2024-11-04,2024-11-08,CUST903,Christopher Bush,Consumer,PROD5206,Keyboard,Electronics,East,Kansas,North Markside,4,4336,20,13875.2,8416.45,5458.75,25,No,0,"Bright, Callahan and Miller",suttonkaren@ortiz.com,UPI,Delivered
ORD1084,2024-09-30,2024-10-02,CUST629,William Chavez,Consumer,PROD6990,Headphones,Electronics,South,Nevada,Port Christianchester,5,4046,20,16184.0,14276.99,1907.01,29,No,0,Matthews-Hebert,bateshoward@peterson-reyes.net,Credit Card,Delivered
ORD1085,2025-05-24,2025-05-27,CUST131,Adriana Craig,Corporate,PROD6002,Bookshelf,Furniture,North,West Virginia,New Vanessabury,9,4893,15,37431.45,26128.72,11302.73,9,Yes,48,Hernandez Ltd,nicole53@graham-wilson.com,UPI,Delivered
ORD1086,2026-01-27,2026-02-03,CUST913,Todd Hughes,Corporate,PROD8076,Rice Bag,Grocery,North,Connecticut,Tonyhaven,10,4243,5,40308.5,30840.42,9468.08,40,No,0,"James, Jones and Zimmerman",josephoneill@smith.com,Net Banking,Returned
ORD1087,2025-12-25,2026-01-01,CUST397,Amy Hudson,Consumer,PROD2032,Study Table,Furniture,South,New Hampshire,South Mary,8,4003,15,27220.4,24398.0,2822.4,41,No,0,"Patton, Graham and Conner",jeremyhernandez@brown.com,UPI,Returned
ORD1088,2025-05-09,2025-05-13,CUST964,Michael Luna,Consumer,PROD9088,Juice Pack,Grocery,South,Georgia,West Brianmouth,8,4701,10,33847.2,21215.61,12631.59,5,Yes,20,"Burns, Valdez and Perkins",fharper@petersen.com,Credit Card,Cancelled
ORD1089,2026-04-11,2026-04-12,CUST695,Caitlyn Rowe,Home Office,PROD3263,Juice Pack,Grocery,East,New Hampshire,Joshuaport,5,1973,5,9371.75,8000.19,1371.56,50,No,0,Wells Group,john55@walker-nguyen.com,UPI,Returned
ORD1090,2024-11-09,2024-11-12,CUST650,Linda Miller,Consumer,PROD1853,Snacks,Grocery,East,Florida,New Williamburgh,7,1503,20,8416.8,6109.21,2307.59,18,No,0,Torres PLC,steelerichard@sandoval.net,Credit Card,Delivered
ORD1091,2025-09-21,2025-09-25,CUST861,Brandon Martinez,Home Office,PROD5612,Cooking Oil,Grocery,South,Oregon,West Elizabethbury,4,3962,5,15055.6,12113.9,2941.7,11,No,0,"Robles, Jackson and Cox",uchen@chang.info,Net Banking,Returned
ORD1092,2026-02-27,2026-03-05,CUST808,Charles Hernandez,Consumer,PROD2968,Dining Table,Furniture,North,Tennessee,Esparzachester,4,2238,20,7161.6,6262.88,898.72,19,No,0,"Richardson, Dixon and Turner",kimbrown@washington.com,UPI,Delivered
ORD1093,2024-09-18,2024-09-22,CUST204,Danielle Sutton,Consumer,PROD7151,Pen,Office Supplies,West,Oklahoma,East Jason,1,3251,15,2763.35,1832.94,930.41,38,No,0,Herrera Ltd,ricardosmith@gonzalez.com,UPI,Pending
ORD1094,2025-08-13,2025-08-15,CUST228,Marilyn Goodman,Corporate,PROD7127,Sofa,Furniture,East,Kentucky,New Kimberlyfurt,2,2217,15,3768.9,2530.19,1238.71,35,No,0,"James, Hunter and Sampson",osmith@diaz.org,Credit Card,Pending
ORD1095,2026-01-08,2026-01-15,CUST935,Cathy Logan,Corporate,PROD4844,File Folder,Office Supplies,South,Oklahoma,East Tarafort,2,4097,15,6964.9,4787.06,2177.84,21,No,0,Reeves Group,brandon22@hall.com,Net Banking,Pending
ORD1096,2025-07-10,2025-07-11,CUST418,Daniel Thornton DDS,Corporate,PROD9873,Stapler,Office Supplies,North,Tennessee,East Jenniferfurt,7,2671,15,15892.45,12901.62,2990.83,34,No,0,Ashley-Malone,dannyflynn@smith-rasmussen.info,Credit Card,Pending
ORD1097,2025-08-03,2025-08-10,CUST973,Sharon Ward MD,Home Office,PROD6273,Study Table,Furniture,South,Florida,Port Tamaraborough,7,4670,15,27786.5,21193.6,6592.9,10,No,0,Jones LLC,johncampbell@chang.com,Credit Card,Returned
ORD1098,2024-12-04,2024-12-11,CUST384,David Shepherd,Consumer,PROD8406,Study Table,Furniture,West,Indiana,North Kevinberg,5,4646,0,23230.0,17408.09,5821.91,14,No,0,"Cowan, Calhoun and Walker",tim45@trujillo-richards.com,Cash,Delivered
ORD1099,2025-02-25,2025-02-27,CUST264,Tony Woodard,Corporate,PROD1273,Office Chair,Furniture,East,Hawaii,Lake Shannon,6,956,0,5736.0,3563.6,2172.4,12,No,0,Murphy and Sons,matthewjones@mitchell-zamora.com,UPI,Cancelled
ORD1100,2024-11-11,2024-11-12,CUST966,Justin Miller,Corporate,PROD8334,Laptop,Electronics,South,Idaho,East Elizabeth,10,2500,10,22500.0,16592.77,5907.23,17,No,0,Lewis-Jones,billymitchell@luna.org,Net Banking,Cancelled
ORD1101,2025-12-23,2025-12-28,CUST369,Christopher Baker,Corporate,PROD5517,Stapler,Office Supplies,West,Massachusetts,New Kim,3,348,0,1044.0,909.57,134.43,4,Yes,41,"Atkins, Schneider and Shannon",carolynnelson@green.com,Credit Card,Pending
ORD1102,2024-11-15,2024-11-16,CUST409,Kristen Herrera,Corporate,PROD3366,Rice Bag,Grocery,East,South Dakota,Christensenview,1,324,5,307.8,232.88,74.92,0,Yes,21,Stewart-Mcmahon,lisahamilton@reese-garcia.biz,Net Banking,Returned
ORD1103,2025-09-11,2025-09-18,CUST746,Justin Henry,Home Office,PROD9186,Rice Bag,Grocery,East,Texas,South Rickymouth,5,4097,10,18436.5,15712.07,2724.43,21,No,0,Lester Ltd,scott07@jenkins-white.com,Credit Card,Delivered
